"mei_fi_id";"fi_id_cou";"fi_year";"fi_date";"ser_x";"ser_y";"ser_cou_code";"ser_nameshort";"ser_emu_nameshort";"ser_hty_code";"lengthmm";"weightg";"ageyear";"female_proportion";"method_sex";"sex";"sex_source";"fi_lfs_code";"ser_lfs_code";"lfs_code";"lfs_code_source";"sai_samplingstrategy";"sai_samplingobjective";"fi_comment";"sai_comment";"ser_qal_id";"source";"issue";"action"
3197421;"EE18_001";2018;2018-05-14;NA;NA;"EE";NA;"EE_Narv";"F";550;326;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197422;"EE18_002";2018;2018-05-14;NA;NA;"EE";NA;"EE_Narv";"F";586;380.7;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197423;"EE18_003";2018;2018-05-14;NA;NA;"EE";NA;"EE_Narv";"F";539;286.2;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197424;"EE18_004";2018;2018-05-14;NA;NA;"EE";NA;"EE_Narv";"F";538;304;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197425;"EE18_005";2018;2018-05-14;NA;NA;"EE";NA;"EE_Narv";"F";637;447.4;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197426;"EE18_006";2018;2018-05-14;NA;NA;"EE";NA;"EE_Narv";"F";521;250.5;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197427;"EE18_007";2018;2018-05-14;NA;NA;"EE";NA;"EE_Narv";"F";560;374.4;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197428;"EE18_008";2018;2018-05-14;NA;NA;"EE";NA;"EE_Narv";"F";574;332.6;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197429;"EE18_009";2018;2018-05-14;NA;NA;"EE";NA;"EE_Narv";"F";561;330.7;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197430;"EE18_010";2018;2018-05-14;NA;NA;"EE";NA;"EE_Narv";"F";576;321.9;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197431;"EE18_011";2018;2018-05-14;NA;NA;"EE";NA;"EE_Narv";"F";517;257.8;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197432;"EE18_012";2018;2018-05-14;NA;NA;"EE";NA;"EE_Narv";"F";582;352.5;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
