"mei_fi_id";"fi_id_cou";"fi_year";"fi_date";"ser_x";"ser_y";"ser_cou_code";"ser_nameshort";"ser_emu_nameshort";"ser_hty_code";"lengthmm";"weightg";"ageyear";"female_proportion";"method_sex";"sex";"sex_source";"fi_lfs_code";"ser_lfs_code";"lfs_code";"lfs_code_source";"sai_samplingstrategy";"sai_samplingobjective";"fi_comment";"sai_comment";"ser_qal_id";"source";"issue";"action"
886001;NA;2018;2018-04-16;-5.95805876393703;36.2554893796887;"ES";NA;"ES_Anda";"F";356;52.8;NA;NA;NA;"m";"sex_length";"S";"S";"S";"fi_lfs_code";"scientific survey";"EU DCF";NA;"morphological data";NA;"sampling";"lfs_dont_match";""
886005;NA;2018;2018-04-16;-5.95811570541469;36.2555240180111;"ES";NA;"ES_Anda";"F";490;358.4;NA;NA;NA;"f";"sex_SI";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;"morphological data";NA;"sampling";"lfs_dont_match";""
886039;NA;2018;2018-04-17;-5.88135157904447;36.2604003785316;"ES";NA;"ES_Anda";"F";324;60.4;NA;NA;NA;"m";"sex_length";"S";"S";"S";"fi_lfs_code";"scientific survey";"EU DCF";NA;"morphological data";NA;"sampling";"lfs_dont_match";""
886040;NA;2018;2018-04-17;-5.88135157904447;36.2604003785316;"ES";NA;"ES_Anda";"F";400;115.3;NA;NA;NA;"m";"sex_length";"S";"S";"S";"fi_lfs_code";"scientific survey";"EU DCF";NA;"morphological data";NA;"sampling";"lfs_dont_match";""
886041;NA;2018;2018-04-17;-5.88135157904447;36.2604003785316;"ES";NA;"ES_Anda";"F";301;52.4;NA;NA;NA;"m";"sex_length";"S";"S";"S";"fi_lfs_code";"scientific survey";"EU DCF";NA;"morphological data";NA;"sampling";"lfs_dont_match";""
886044;NA;2018;2018-04-17;-5.88135157904447;36.2604003785316;"ES";NA;"ES_Anda";"F";278;37.7;NA;NA;NA;"m";"sex_length";"S";"S";"S";"fi_lfs_code";"scientific survey";"EU DCF";NA;"morphological data";NA;"sampling";"lfs_dont_match";""
886045;NA;2018;2018-04-17;-5.8811114826375;36.2602259247738;"ES";NA;"ES_Anda";"F";352;81.8;NA;NA;NA;"m";"sex_length";"S";"S";"S";"fi_lfs_code";"scientific survey";"EU DCF";NA;"morphological data";NA;"sampling";"lfs_dont_match";""
886057;NA;2018;2018-04-17;-5.88172470376334;36.2611664227882;"ES";NA;"ES_Anda";"F";321;64.7;NA;NA;NA;"m";"sex_length";"S";"S";"S";"fi_lfs_code";"scientific survey";"EU DCF";NA;"morphological data";NA;"sampling";"lfs_dont_match";""
886058;NA;2018;2018-04-17;-5.88172470376334;36.2611664227882;"ES";NA;"ES_Anda";"F";274;50.3;NA;NA;NA;"m";"sex_length";"S";"S";"S";"fi_lfs_code";"scientific survey";"EU DCF";NA;"morphological data";NA;"sampling";"lfs_dont_match";""
886061;NA;2018;2018-04-17;-5.88172470376334;36.2611664227882;"ES";NA;"ES_Anda";"F";341;72.3;NA;NA;NA;"m";"sex_length";"S";"S";"S";"fi_lfs_code";"scientific survey";"EU DCF";NA;"morphological data";NA;"sampling";"lfs_dont_match";""
886064;NA;2018;2018-04-17;-5.88172470376334;36.2611664227882;"ES";NA;"ES_Anda";"F";348;78.5;NA;NA;NA;"m";"sex_length";"S";"S";"S";"fi_lfs_code";"scientific survey";"EU DCF";NA;"morphological data";NA;"sampling";"lfs_dont_match";""
886078;NA;2018;2018-04-17;-5.88172470376334;36.2611664227882;"ES";NA;"ES_Anda";"F";349;92.3;NA;NA;NA;"m";"sex_length";"S";"S";"S";"fi_lfs_code";"scientific survey";"EU DCF";NA;"morphological data";NA;"sampling";"lfs_dont_match";""
886085;NA;2018;2018-04-17;-5.88172470376334;36.2611664227882;"ES";NA;"ES_Anda";"F";381;137.4;NA;NA;NA;"m";"sex_SI";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;"morphological data";NA;"sampling";"lfs_dont_match";""
886117;NA;2018;2018-04-24;-5.82773924928743;36.2579858742238;"ES";NA;"ES_Anda";"F";461;22.9;NA;NA;NA;"f";"sex_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;"morphological data";NA;"sampling";"weight_length_off";""
886136;NA;2018;2018-04-18;-5.87126854174777;36.2761619090268;"ES";NA;"ES_Anda";"F";266;35.1;NA;NA;NA;"m";"sex_length";"S";"S";"S";"fi_lfs_code";"scientific survey";"EU DCF";NA;"morphological data";NA;"sampling";"lfs_dont_match";""
