"mei_fi_id";"fi_id_cou";"fi_year";"fi_date";"ser_x";"ser_y";"ser_cou_code";"ser_nameshort";"ser_emu_nameshort";"ser_hty_code";"lengthmm";"weightg";"ageyear";"female_proportion";"method_sex";"sex";"sex_source";"fi_lfs_code";"ser_lfs_code";"lfs_code";"lfs_code_source";"sai_samplingstrategy";"sai_samplingobjective";"fi_comment";"sai_comment";"ser_qal_id";"source";"issue";"action"
338895;NA;2018;2018-06-13;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";842;1007;11;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338896;NA;2018;2018-06-13;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";710;645;9;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338897;NA;2018;2018-06-13;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";835;1121;13;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338899;NA;2018;2018-06-13;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";885;1176;16;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338900;NA;2018;2018-06-13;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";867;1129;21;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338901;NA;2018;2018-06-13;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";717;659;12;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338908;NA;2018;2018-06-13;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";822;1019;15;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338910;NA;2018;2018-06-13;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";888;1071;19;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338911;NA;2018;2018-06-13;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";805;965;17;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338912;NA;2018;2018-06-13;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";787;958;18;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338916;NA;2018;2018-06-13;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";854;1032;16;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
