"mei_fi_id";"fi_id_cou";"fi_year";"fi_date";"ser_x";"ser_y";"ser_cou_code";"ser_nameshort";"ser_emu_nameshort";"ser_hty_code";"lengthmm";"weightg";"ageyear";"female_proportion";"method_sex";"sex";"sex_source";"fi_lfs_code";"ser_lfs_code";"lfs_code";"lfs_code_source";"sai_samplingstrategy";"sai_samplingobjective";"fi_comment";"sai_comment";"ser_qal_id";"source";"issue";"action"
290535;NA;1995;1995-09-14;-2.093475;48.570303;"FR";"FremY";"FR_Bret";"F";385;NA;NA;0;NA;"m";"sex_provided_nomethod";NA;"Y";NA;NA;NA;NA;NA;NA;1;"series";"no_method_but_sex";""
290536;NA;1995;1995-09-14;-2.093475;48.570303;"FR";"FremY";"FR_Bret";"F";350;NA;NA;0;NA;"m";"sex_provided_nomethod";NA;"Y";NA;NA;NA;NA;NA;NA;1;"series";"no_method_but_sex";""
290537;NA;1995;1995-09-14;-2.093475;48.570303;"FR";"FremY";"FR_Bret";"F";335;NA;NA;0;NA;"m";"sex_provided_nomethod";NA;"Y";NA;NA;NA;NA;NA;NA;1;"series";"no_method_but_sex";""
290538;NA;1995;1995-09-14;-2.093475;48.570303;"FR";"FremY";"FR_Bret";"F";345;NA;NA;0;NA;"m";"sex_provided_nomethod";NA;"Y";NA;NA;NA;NA;NA;NA;1;"series";"no_method_but_sex";""
290539;NA;1995;1995-09-14;-2.093475;48.570303;"FR";"FremY";"FR_Bret";"F";580;NA;NA;1;NA;"f";"sex_provided_nomethod";NA;"Y";NA;NA;NA;NA;NA;NA;1;"series";"no_method_but_sex";""
290540;NA;1995;1995-09-14;-2.093475;48.570303;"FR";"FremY";"FR_Bret";"F";382;NA;NA;0;NA;"m";"sex_provided_nomethod";NA;"Y";NA;NA;NA;NA;NA;NA;1;"series";"no_method_but_sex";""
290541;NA;1995;1995-09-14;-2.093475;48.570303;"FR";"FremY";"FR_Bret";"F";395;NA;NA;0;NA;"m";"sex_provided_nomethod";NA;"Y";NA;NA;NA;NA;NA;NA;1;"series";"no_method_but_sex";""
290542;NA;1995;1995-09-14;-2.093475;48.570303;"FR";"FremY";"FR_Bret";"F";385;NA;NA;0;NA;"m";"sex_provided_nomethod";NA;"Y";NA;NA;NA;NA;NA;NA;1;"series";"no_method_but_sex";""
290543;NA;1995;1995-09-14;-2.093475;48.570303;"FR";"FremY";"FR_Bret";"F";365;NA;NA;0;NA;"m";"sex_provided_nomethod";NA;"Y";NA;NA;NA;NA;NA;NA;1;"series";"no_method_but_sex";""
290544;NA;1995;1995-09-14;-2.093475;48.570303;"FR";"FremY";"FR_Bret";"F";398;NA;NA;0;NA;"m";"sex_provided_nomethod";NA;"Y";NA;NA;NA;NA;NA;NA;1;"series";"no_method_but_sex";""
290545;NA;1995;1995-09-14;-2.093475;48.570303;"FR";"FremY";"FR_Bret";"F";388;NA;NA;0;NA;"m";"sex_provided_nomethod";NA;"Y";NA;NA;NA;NA;NA;NA;1;"series";"no_method_but_sex";""
290546;NA;1995;1995-09-14;-2.093475;48.570303;"FR";"FremY";"FR_Bret";"F";460;NA;NA;1;NA;"f";"sex_provided_nomethod";NA;"Y";NA;NA;NA;NA;NA;NA;1;"series";"no_method_but_sex";""
290547;NA;1995;1995-09-14;-2.093475;48.570303;"FR";"FremY";"FR_Bret";"F";360;NA;NA;0;NA;"m";"sex_provided_nomethod";NA;"Y";NA;NA;NA;NA;NA;NA;1;"series";"no_method_but_sex";""
