"mei_fi_id";"fi_id_cou";"fi_year";"fi_date";"ser_x";"ser_y";"ser_cou_code";"ser_nameshort";"ser_emu_nameshort";"ser_hty_code";"lengthmm";"weightg";"ageyear";"female_proportion";"method_sex";"sex";"sex_source";"fi_lfs_code";"ser_lfs_code";"lfs_code";"lfs_code_source";"sai_samplingstrategy";"sai_samplingobjective";"fi_comment";"sai_comment";"ser_qal_id";"source";"issue";"action"
1650542;NA;2015;2015-07-02;-5.62;57.49;"GB";"ShiY";"GB_Scot";"F";22;NA;NA;NA;NA;NA;NA;NA;"Y";NA;NA;NA;NA;NA;NA;1;"series";"too_short";""
2970342;"S2478";2019;2019-07-12;-5.64;57.5;"GB";"ShiS";"GB_Scot";"F";420;50.5;NA;NA;NA;"m";"sex_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;NA;"series";"weight_length_off";""
2984920;NA;2024;2024-05-08;-6.42;55.12;"GB";"BannGY";"GB_Neag";"F";68;0;NA;NA;NA;NA;NA;"GY";"GY";"GY";"fi_lfs_code";NA;NA;NA;NA;1;"series";"too_light";""
2992315;"GTYE179";2008;2008-07-23;-3.1123;57.048;"GB";"GirnY";"GB_Scot";"F";99;0.9;NA;NA;NA;NA;NA;"Y";"Y";"Y";"fi_lfs_code";NA;NA;NA;NA;1;"series";"unrealistic_weight";""
2992339;"GTYE203";2008;2008-07-23;-3.1123;57.048;"GB";"GirnY";"GB_Scot";"F";99;0.9;NA;NA;NA;NA;NA;"Y";"Y";"Y";"fi_lfs_code";NA;NA;NA;NA;1;"series";"unrealistic_weight";""
2992433;"GTYE297";2008;2008-07-23;-3.1123;57.048;"GB";"GirnY";"GB_Scot";"F";102;0.9;NA;NA;NA;NA;NA;"Y";"Y";"Y";"fi_lfs_code";NA;NA;NA;NA;1;"series";"unrealistic_weight";""
3098911;NA;2023;2023-07-18;-3.52482490206011;50.926699809416;"GB";"ExeY";"GB_SouW";"F";41;NA;NA;NA;NA;NA;NA;"Y";"Y";"Y";"fi_lfs_code";NA;NA;NA;NA;1;"series";"unrealistic_length";""
3098912;NA;2023;2023-07-18;-3.52482490206011;50.926699809416;"GB";"ExeY";"GB_SouW";"F";45;NA;NA;NA;NA;NA;NA;"Y";"Y";"Y";"fi_lfs_code";NA;NA;NA;NA;1;"series";"unrealistic_length";""
3099234;NA;2023;2023-08-02;-4.35078313667012;50.6808398026034;"GB";"TamY";"GB_SouW";"F";60;NA;NA;NA;NA;NA;NA;"Y";"Y";"Y";"fi_lfs_code";NA;NA;NA;NA;1;"series";"unrealistic_length";""
3100188;NA;2018;2018-08-06;-2.69551070274933;54.2564311626403;"GB";"BelY";"GB_NorW";"F";60;NA;NA;NA;NA;NA;NA;"Y";"Y";"Y";"fi_lfs_code";NA;NA;NA;NA;1;"series";"unrealistic_length";""
3100190;NA;2018;2018-08-06;-2.69551070274933;54.2564311626403;"GB";"BelY";"GB_NorW";"F";60;NA;NA;NA;NA;NA;NA;"Y";"Y";"Y";"fi_lfs_code";NA;NA;NA;NA;1;"series";"unrealistic_length";""
3100207;NA;2018;2018-08-06;-2.69551070274933;54.2564311626403;"GB";"BelY";"GB_NorW";"F";60;NA;NA;NA;NA;NA;NA;"Y";"Y";"Y";"fi_lfs_code";NA;NA;NA;NA;1;"series";"unrealistic_length";""
