"mei_fi_id";"fi_id_cou";"fi_year";"fi_date";"ser_x";"ser_y";"ser_cou_code";"ser_nameshort";"ser_emu_nameshort";"ser_hty_code";"lengthmm";"weightg";"ageyear";"female_proportion";"method_sex";"sex";"sex_source";"fi_lfs_code";"ser_lfs_code";"lfs_code";"lfs_code_source";"sai_samplingstrategy";"sai_samplingobjective";"fi_comment";"sai_comment";"ser_qal_id";"source";"issue";"action"
2258275;"HR21_011";2021;2021-12-04;17.4784505324;43.0086198376;"HR";NA;"HR_total";"T";511;270;4;NA;NA;"f";"sex_length";"S";"S";"S";"fi_lfs_code";"commercial fishery";"EU DCF";NA;NA;1;"sampling";"lfs_dont_match";""
2258276;"HR21_012";2021;2021-12-04;17.4784505324;43.0086198376;"HR";NA;"HR_total";"T";522;252;3;NA;NA;"f";"sex_length";"S";"S";"S";"fi_lfs_code";"commercial fishery";"EU DCF";NA;NA;1;"sampling";"lfs_dont_match";""
2258310;"HR22_002";2022;2022-12-13;17.441589;43.053457;"HR";NA;"HR_total";"T";729;823;6;1;NA;"f";"sex_provided_nomethod";"S";"S";"S";"fi_lfs_code";"commercial fishery";"EU DCF";NA;NA;1;"sampling";"no_method_but_sex";""
3412933;NA;2023;2023-09-15;16.49183;43.536106;"HR";NA;"HR_total";"F";374;84.3;4;NA;1;NA;NA;"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"no_sex_but_method";""
3412934;NA;2023;2023-09-15;16.49183;43.536106;"HR";NA;"HR_total";"F";381;96.1;4;NA;1;NA;NA;"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"no_sex_but_method";""
3412939;NA;2023;2023-09-15;16.49183;43.536106;"HR";NA;"HR_total";"F";413;126;4;NA;1;NA;NA;"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"no_sex_but_method";""
3412946;NA;2023;2023-09-15;16.49183;43.536106;"HR";NA;"HR_total";"F";666;522.1;10;NA;1;"f";"sex_SI";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"lfs_dont_match";""
3412947;NA;2023;2023-09-15;16.49183;43.536106;"HR";NA;"HR_total";"F";554;390;11;NA;1;"f";"sex_SI";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"lfs_dont_match";""
3412948;NA;2023;2023-09-15;16.49183;43.536106;"HR";NA;"HR_total";"F";569;430;10;NA;1;"f";"sex_SI";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"lfs_dont_match";""
3412949;NA;2023;2023-09-15;16.49183;43.536106;"HR";NA;"HR_total";"F";431;173;6;NA;1;"m";"sex_SI";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"lfs_dont_match";""
