"mei_fi_id";"fi_id_cou";"fi_year";"fi_date";"ser_x";"ser_y";"ser_cou_code";"ser_nameshort";"ser_emu_nameshort";"ser_hty_code";"lengthmm";"weightg";"ageyear";"female_proportion";"method_sex";"sex";"sex_source";"fi_lfs_code";"ser_lfs_code";"lfs_code";"lfs_code_source";"sai_samplingstrategy";"sai_samplingobjective";"fi_comment";"sai_comment";"ser_qal_id";"source";"issue";"action"
2050215;"Erne_S_22_001";2022;2022-10-24;NA;NA;"IE";NA;"IE_NorW";"F";568;308;17;1;NA;"f";"sex_provided_nomethod";"S";"S";"S";"fi_lfs_code";"scientific survey";"national monitoring programme";"no data but all being assessed and aged by J McDowell for PhD";"samples from T&T programme";1;"sampling";"coordinates_missing, no_method_but_sex";""
2050216;"Erne_S_22_002";2022;2022-10-24;NA;NA;"IE";NA;"IE_NorW";"F";521;289;19;1;NA;"f";"sex_provided_nomethod";"S";"S";"S";"fi_lfs_code";"scientific survey";"national monitoring programme";"no data but all being assessed and aged by J McDowell for PhD";"samples from T&T programme";1;"sampling";"coordinates_missing, no_method_but_sex";""
2050217;"Erne_S_22_003";2022;2022-10-24;NA;NA;"IE";NA;"IE_NorW";"F";626;433;18;1;NA;"f";"sex_provided_nomethod";"S";"S";"S";"fi_lfs_code";"scientific survey";"national monitoring programme";"no data but all being assessed and aged by J McDowell for PhD";"samples from T&T programme";1;"sampling";"coordinates_missing, no_method_but_sex";""
2050218;"Erne_S_22_004";2022;2022-10-24;NA;NA;"IE";NA;"IE_NorW";"F";809;913;17;1;NA;"f";"sex_provided_nomethod";"S";"S";"S";"fi_lfs_code";"scientific survey";"national monitoring programme";"no data but all being assessed and aged by J McDowell for PhD";"samples from T&T programme";1;"sampling";"coordinates_missing, no_method_but_sex";""
2050219;"Erne_S_22_005";2022;2022-10-24;NA;NA;"IE";NA;"IE_NorW";"F";680;484;17;1;NA;"f";"sex_provided_nomethod";"S";"S";"S";"fi_lfs_code";"scientific survey";"national monitoring programme";"no data but all being assessed and aged by J McDowell for PhD";"samples from T&T programme";1;"sampling";"coordinates_missing, no_method_but_sex";""
2050220;"Erne_S_22_006";2022;2022-10-24;NA;NA;"IE";NA;"IE_NorW";"F";798;1008;17;1;NA;"f";"sex_provided_nomethod";"S";"S";"S";"fi_lfs_code";"scientific survey";"national monitoring programme";"no data but all being assessed and aged by J McDowell for PhD";"samples from T&T programme";1;"sampling";"coordinates_missing, no_method_but_sex";""
2050221;"Erne_S_22_007";2022;2022-10-24;NA;NA;"IE";NA;"IE_NorW";"F";605;403;16;1;NA;"f";"sex_provided_nomethod";"S";"S";"S";"fi_lfs_code";"scientific survey";"national monitoring programme";"no data but all being assessed and aged by J McDowell for PhD";"samples from T&T programme";1;"sampling";"coordinates_missing, no_method_but_sex";""
2050222;"Erne_S_22_008";2022;2022-10-24;NA;NA;"IE";NA;"IE_NorW";"F";650;556;15;1;NA;"f";"sex_provided_nomethod";"S";"S";"S";"fi_lfs_code";"scientific survey";"national monitoring programme";"no data but all being assessed and aged by J McDowell for PhD";"samples from T&T programme";1;"sampling";"coordinates_missing, no_method_but_sex";""
2050223;"Erne_S_22_009";2022;2022-10-24;NA;NA;"IE";NA;"IE_NorW";"F";690;578;20;1;NA;"f";"sex_provided_nomethod";"S";"S";"S";"fi_lfs_code";"scientific survey";"national monitoring programme";"no data but all being assessed and aged by J McDowell for PhD";"samples from T&T programme";1;"sampling";"coordinates_missing, no_method_but_sex";""
2050224;"Erne_S_22_010";2022;2022-10-24;NA;NA;"IE";NA;"IE_NorW";"F";681;488;19;1;NA;"f";"sex_provided_nomethod";"S";"S";"S";"fi_lfs_code";"scientific survey";"national monitoring programme";"no data but all being assessed and aged by J McDowell for PhD";"samples from T&T programme";1;"sampling";"coordinates_missing, no_method_but_sex";""
2050225;"Erne_S_22_011";2022;2022-10-24;NA;NA;"IE";NA;"IE_NorW";"F";595;403;15;1;NA;"f";"sex_provided_nomethod";"S";"S";"S";"fi_lfs_code";"scientific survey";"national monitoring programme";"no data but all being assessed and aged by J McDowell for PhD";"samples from T&T programme";1;"sampling";"coordinates_missing, no_method_but_sex";""
