"mei_fi_id";"fi_id_cou";"fi_year";"fi_date";"ser_x";"ser_y";"ser_cou_code";"ser_nameshort";"ser_emu_nameshort";"ser_hty_code";"lengthmm";"weightg";"ageyear";"female_proportion";"method_sex";"sex";"sex_source";"fi_lfs_code";"ser_lfs_code";"lfs_code";"lfs_code_source";"sai_samplingstrategy";"sai_samplingobjective";"fi_comment";"sai_comment";"ser_qal_id";"source";"issue";"action"
2258311;"LT";2022;2022-01-01;21.13;55.3;"LT";"CurlY";"LT_Lith";"T";456;165;6;1;NA;"f";"sex_provided_nomethod";NA;"Y";"Y";"lfs_SI";NA;NA;NA;NA;0;"series";"no_method_but_sex";""
2258312;"LT";2022;2022-01-01;21.13;55.3;"LT";"CurlY";"LT_Lith";"T";470;166;9;1;NA;"f";"sex_provided_nomethod";NA;"Y";"Y";"lfs_SI";NA;NA;NA;NA;0;"series";"no_method_but_sex";""
2258313;"LT";2022;2022-01-01;21.13;55.3;"LT";"CurlY";"LT_Lith";"T";485;187;5;1;NA;"f";"sex_provided_nomethod";NA;"Y";"Y";"lfs_SI";NA;NA;NA;NA;0;"series";"no_method_but_sex";""
2258314;"LT";2022;2022-01-01;21.13;55.3;"LT";"CurlY";"LT_Lith";"T";520;233;9;1;NA;"f";"sex_provided_nomethod";NA;"Y";"Y";"lfs_SI";NA;NA;NA;NA;0;"series";"no_method_but_sex";""
2258315;"LT";2022;2022-01-01;21.13;55.3;"LT";"CurlY";"LT_Lith";"T";526;244;10;1;NA;"f";"sex_provided_nomethod";NA;"Y";"Y";"lfs_SI";NA;NA;NA;NA;0;"series";"no_method_but_sex";""
2258316;"LT";2022;2022-01-01;21.13;55.3;"LT";"CurlY";"LT_Lith";"T";520;250;8;1;NA;"f";"sex_provided_nomethod";NA;"Y";"Y";"lfs_SI";NA;NA;NA;NA;0;"series";"no_method_but_sex";""
2258317;"LT";2022;2022-01-01;21.13;55.3;"LT";"CurlY";"LT_Lith";"T";520;294;7;1;NA;"f";"sex_provided_nomethod";NA;"Y";"Y";"lfs_SI";NA;NA;NA;NA;0;"series";"no_method_but_sex";""
2258318;"LT";2022;2022-01-01;21.13;55.3;"LT";"CurlY";"LT_Lith";"T";580;298;7;1;NA;"f";"sex_provided_nomethod";NA;"Y";"Y";"lfs_SI";NA;NA;NA;NA;0;"series";"no_method_but_sex";""
2258319;"LT";2022;2022-01-01;21.13;55.3;"LT";"CurlY";"LT_Lith";"T";570;301;6;1;NA;"f";"sex_provided_nomethod";NA;"Y";"Y";"lfs_SI";NA;NA;NA;NA;0;"series";"no_method_but_sex";""
2258320;"LT";2022;2022-01-01;21.13;55.3;"LT";"CurlY";"LT_Lith";"T";580;320;7;1;NA;"f";"sex_provided_nomethod";NA;"Y";"Y";"lfs_SI";NA;NA;NA;NA;0;"series";"no_method_but_sex";""
2258321;"LT";2022;2022-01-01;21.13;55.3;"LT";"CurlY";"LT_Lith";"T";547;320;10;1;NA;"f";"sex_provided_nomethod";NA;"Y";"Y";"lfs_SI";NA;NA;NA;NA;0;"series";"no_method_but_sex";""
2258322;"LT";2022;2022-01-01;21.13;55.3;"LT";"CurlY";"LT_Lith";"T";600;330;6;1;NA;"f";"sex_provided_nomethod";NA;"Y";"Y";"lfs_SI";NA;NA;NA;NA;0;"series";"no_method_but_sex";""
2258323;"LT";2022;2022-01-01;21.13;55.3;"LT";"CurlY";"LT_Lith";"T";540;332;10;1;NA;"f";"sex_provided_nomethod";NA;"Y";"Y";"lfs_SI";NA;NA;NA;NA;0;"series";"no_method_but_sex";""
2258324;"LT";2022;2022-01-01;21.13;55.3;"LT";"CurlY";"LT_Lith";"T";550;335;6;1;NA;"f";"sex_provided_nomethod";NA;"Y";"Y";"lfs_SI";NA;NA;NA;NA;0;"series";"no_method_but_sex";""
2258325;"LT";2022;2022-01-01;21.13;55.3;"LT";"CurlY";"LT_Lith";"T";544;335;7;1;NA;"f";"sex_provided_nomethod";NA;"Y";"Y";"lfs_SI";NA;NA;NA;NA;0;"series";"no_method_but_sex";""
2258326;"LT";2022;2022-01-01;21.13;55.3;"LT";"CurlY";"LT_Lith";"T";550;341;10;1;NA;"f";"sex_provided_nomethod";NA;"Y";"Y";"lfs_SI";NA;NA;NA;NA;0;"series";"no_method_but_sex";""
