"mei_fi_id";"fi_id_cou";"fi_year";"fi_date";"ser_x";"ser_y";"ser_cou_code";"ser_nameshort";"ser_emu_nameshort";"ser_hty_code";"lengthmm";"weightg";"ageyear";"female_proportion";"method_sex";"sex";"sex_source";"fi_lfs_code";"ser_lfs_code";"lfs_code";"lfs_code_source";"sai_samplingstrategy";"sai_samplingobjective";"fi_comment";"sai_comment";"ser_qal_id";"source";"issue";"action"
784898;NA;2010;2010-05-27;5.46667;52.69833;"NL";NA;"NL_Neth";"F";312;49;NA;0;NA;"m";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"commercial fisheries";"DCF";"coordinates represent the waterbody, not the exact sample location";"marketsampling of commercial landings/catches";1;"sampling";"no_method_but_sex";""
784899;NA;2010;2010-05-27;5.46667;52.69833;"NL";NA;"NL_Neth";"F";275;36;NA;0;NA;"m";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"commercial fisheries";"DCF";"coordinates represent the waterbody, not the exact sample location";"marketsampling of commercial landings/catches";1;"sampling";"no_method_but_sex";""
784900;NA;2010;2010-05-27;5.46667;52.69833;"NL";NA;"NL_Neth";"F";492;126;NA;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"commercial fisheries";"DCF";"coordinates represent the waterbody, not the exact sample location";"marketsampling of commercial landings/catches";1;"sampling";"no_method_but_sex";""
784901;NA;2010;2010-05-27;5.46667;52.69833;"NL";NA;"NL_Neth";"F";353;56;NA;0;NA;"m";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"commercial fisheries";"DCF";"coordinates represent the waterbody, not the exact sample location";"marketsampling of commercial landings/catches";1;"sampling";"no_method_but_sex";""
784902;NA;2010;2010-05-27;5.46667;52.69833;"NL";NA;"NL_Neth";"F";351;69;NA;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"commercial fisheries";"DCF";"coordinates represent the waterbody, not the exact sample location";"marketsampling of commercial landings/catches";1;"sampling";"no_method_but_sex";""
784903;NA;2010;2010-05-27;5.46667;52.69833;"NL";NA;"NL_Neth";"F";324;52;NA;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"commercial fisheries";"DCF";"coordinates represent the waterbody, not the exact sample location";"marketsampling of commercial landings/catches";1;"sampling";"no_method_but_sex";""
784904;NA;2010;2010-05-27;5.46667;52.69833;"NL";NA;"NL_Neth";"F";482;175;NA;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"commercial fisheries";"DCF";"coordinates represent the waterbody, not the exact sample location";"marketsampling of commercial landings/catches";1;"sampling";"no_method_but_sex";""
784905;NA;2010;2010-05-27;5.46667;52.69833;"NL";NA;"NL_Neth";"F";386;94;NA;0;NA;"m";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"commercial fisheries";"DCF";"coordinates represent the waterbody, not the exact sample location";"marketsampling of commercial landings/catches";1;"sampling";"no_method_but_sex";""
784906;NA;2010;2010-05-27;5.46667;52.69833;"NL";NA;"NL_Neth";"F";362;88;NA;0;NA;"m";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"commercial fisheries";"DCF";"coordinates represent the waterbody, not the exact sample location";"marketsampling of commercial landings/catches";1;"sampling";"no_method_but_sex";""
784907;NA;2010;2010-05-27;5.46667;52.69833;"NL";NA;"NL_Neth";"F";492;178;NA;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"commercial fisheries";"DCF";"coordinates represent the waterbody, not the exact sample location";"marketsampling of commercial landings/catches";1;"sampling";"no_method_but_sex";""
784908;NA;2010;2010-05-27;5.46667;52.69833;"NL";NA;"NL_Neth";"F";382;98;NA;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"commercial fisheries";"DCF";"coordinates represent the waterbody, not the exact sample location";"marketsampling of commercial landings/catches";1;"sampling";"no_method_but_sex";""
784909;NA;2010;2010-05-27;5.46667;52.69833;"NL";NA;"NL_Neth";"F";432;137;NA;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"commercial fisheries";"DCF";"coordinates represent the waterbody, not the exact sample location";"marketsampling of commercial landings/catches";1;"sampling";"no_method_but_sex";""
784910;NA;2010;2010-05-27;5.46667;52.69833;"NL";NA;"NL_Neth";"F";422;124;NA;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"commercial fisheries";"DCF";"coordinates represent the waterbody, not the exact sample location";"marketsampling of commercial landings/catches";1;"sampling";"no_method_but_sex";""
784911;NA;2010;2010-05-27;5.46667;52.69833;"NL";NA;"NL_Neth";"F";532;314;NA;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"commercial fisheries";"DCF";"coordinates represent the waterbody, not the exact sample location";"marketsampling of commercial landings/catches";1;"sampling";"no_method_but_sex";""
784912;NA;2010;2010-05-27;5.46667;52.69833;"NL";NA;"NL_Neth";"F";498;204;NA;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"commercial fisheries";"DCF";"coordinates represent the waterbody, not the exact sample location";"marketsampling of commercial landings/catches";1;"sampling";"no_method_but_sex";""
784913;NA;2010;2010-05-27;5.55;52.69;"NL";NA;"NL_Neth";"F";507;244;NA;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"commercial fisheries";"DCF";"coordinates represent the waterbody, not the exact sample location";"marketsampling of commercial landings/catches";1;"sampling";"no_method_but_sex";""
784914;NA;2010;2010-05-27;5.55;52.69;"NL";NA;"NL_Neth";"F";542;354;NA;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"commercial fisheries";"DCF";"coordinates represent the waterbody, not the exact sample location";"marketsampling of commercial landings/catches";1;"sampling";"no_method_but_sex";""
784915;NA;2010;2010-05-27;5.55;52.69;"NL";NA;"NL_Neth";"F";514;247;NA;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"commercial fisheries";"DCF";"coordinates represent the waterbody, not the exact sample location";"marketsampling of commercial landings/catches";1;"sampling";"no_method_but_sex";""
784916;NA;2010;2010-05-27;5.55;52.69;"NL";NA;"NL_Neth";"F";582;268;NA;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"commercial fisheries";"DCF";"coordinates represent the waterbody, not the exact sample location";"marketsampling of commercial landings/catches";1;"sampling";"no_method_but_sex";""
