"mei_fi_id";"fi_id_cou";"fi_year";"fi_date";"ser_x";"ser_y";"ser_cou_code";"ser_nameshort";"ser_emu_nameshort";"ser_hty_code";"lengthmm";"weightg";"ageyear";"female_proportion";"method_sex";"sex";"sex_source";"fi_lfs_code";"ser_lfs_code";"lfs_code";"lfs_code_source";"sai_samplingstrategy";"sai_samplingobjective";"fi_comment";"sai_comment";"ser_qal_id";"source";"issue";"action"
1753925;"2872_IMSA";2016;2016-09-12;5.96428;58.9037;"NO";"ImsaS";"NO_total";"F";516;748;NA;NA;NA;"f";"sex_SI";NA;"S";"S";"lfs_SI";NA;NA;NA;NA;NA;"series";"weight_length_off";""
1754984;"3931_IMSA";2019;NA;5.96428;58.9037;"NO";"ImsaS";"NO_total";"F";810;434;NA;NA;NA;"f";"sex_SI";NA;"S";"S";"lfs_SI";NA;NA;NA;NA;NA;"series";"weight_length_off";""
2051725;"1";2016;NA;5.045;60.63;"NO";NA;"NO_total";"F";450;149;15;1;NA;"f";"sex_provided_nomethod";"S";"S";"S";"fi_lfs_code";"Scientific survey";"Norway monitoring";NA;NA;1;"sampling";"no_method_but_sex";""
2051726;"2";2016;NA;5.045;60.63;"NO";NA;"NO_total";"F";488;223;24;1;NA;"f";"sex_provided_nomethod";"S";"S";"S";"fi_lfs_code";"Scientific survey";"Norway monitoring";NA;NA;1;"sampling";"no_method_but_sex";""
2051727;"3";2016;NA;5.045;60.63;"NO";NA;"NO_total";"F";473;224;23;1;NA;"f";"sex_provided_nomethod";"S";"S";"S";"fi_lfs_code";"Scientific survey";"Norway monitoring";NA;NA;1;"sampling";"no_method_but_sex";""
2051728;"4";2016;NA;5.045;60.63;"NO";NA;"NO_total";"F";490;221;24;1;NA;"f";"sex_provided_nomethod";"S";"S";"S";"fi_lfs_code";"Scientific survey";"Norway monitoring";NA;NA;1;"sampling";"no_method_but_sex";""
2051729;"5";2016;NA;5.045;60.63;"NO";NA;"NO_total";"F";527;256;21;1;NA;"f";"sex_provided_nomethod";"S";"S";"S";"fi_lfs_code";"Scientific survey";"Norway monitoring";NA;NA;1;"sampling";"no_method_but_sex";""
2051730;"6";2016;NA;5.045;60.63;"NO";NA;"NO_total";"F";487;213;18;1;NA;"f";"sex_provided_nomethod";"S";"S";"S";"fi_lfs_code";"Scientific survey";"Norway monitoring";NA;NA;1;"sampling";"no_method_but_sex";""
2051731;"7";2016;NA;5.045;60.63;"NO";NA;"NO_total";"F";514;264;25;1;NA;"f";"sex_provided_nomethod";"S";"S";"S";"fi_lfs_code";"Scientific survey";"Norway monitoring";NA;NA;1;"sampling";"no_method_but_sex";""
2051732;"8";2016;NA;5.045;60.63;"NO";NA;"NO_total";"F";488;248;24;1;NA;"f";"sex_provided_nomethod";"S";"S";"S";"fi_lfs_code";"Scientific survey";"Norway monitoring";NA;NA;1;"sampling";"no_method_but_sex";""
