"mei_fi_id";"fi_id_cou";"fi_year";"fi_date";"ser_x";"ser_y";"ser_cou_code";"ser_nameshort";"ser_emu_nameshort";"ser_hty_code";"lengthmm";"weightg";"ageyear";"female_proportion";"method_sex";"sex";"sex_source";"fi_lfs_code";"ser_lfs_code";"lfs_code";"lfs_code_source";"sai_samplingstrategy";"sai_samplingobjective";"fi_comment";"sai_comment";"ser_qal_id";"source";"issue";"action"
821980;NA;2020;NA;NA;NA;"PL";NA;"PL_Vist";"T";550;354;7;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"Commercial fishery and  fyke net survey";"EU DCF";NA;"historical data Vistula_lagoon";NA;"sampling";"coordinates_missing, no_method_but_sex";""
821981;NA;2020;NA;NA;NA;"PL";NA;"PL_Vist";"T";560;373;7;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"Commercial fishery and  fyke net survey";"EU DCF";NA;"historical data Vistula_lagoon";NA;"sampling";"coordinates_missing, no_method_but_sex";""
821982;NA;2020;NA;NA;NA;"PL";NA;"PL_Vist";"T";570;380;7;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"Commercial fishery and  fyke net survey";"EU DCF";NA;"historical data Vistula_lagoon";NA;"sampling";"coordinates_missing, no_method_but_sex";""
821983;NA;2020;NA;NA;NA;"PL";NA;"PL_Vist";"T";590;374;6;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"Commercial fishery and  fyke net survey";"EU DCF";NA;"historical data Vistula_lagoon";NA;"sampling";"coordinates_missing, no_method_but_sex";""
821984;NA;2020;NA;NA;NA;"PL";NA;"PL_Vist";"T";590;415;7;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"Commercial fishery and  fyke net survey";"EU DCF";NA;"historical data Vistula_lagoon";NA;"sampling";"coordinates_missing, no_method_but_sex";""
821985;NA;2020;NA;NA;NA;"PL";NA;"PL_Vist";"T";610;446;9;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"Commercial fishery and  fyke net survey";"EU DCF";NA;"historical data Vistula_lagoon";NA;"sampling";"coordinates_missing, no_method_but_sex";""
821986;NA;2020;NA;NA;NA;"PL";NA;"PL_Vist";"T";610;478;7;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"Commercial fishery and  fyke net survey";"EU DCF";NA;"historical data Vistula_lagoon";NA;"sampling";"coordinates_missing, no_method_but_sex";""
821987;NA;2020;NA;NA;NA;"PL";NA;"PL_Vist";"T";620;386;7;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"Commercial fishery and  fyke net survey";"EU DCF";NA;"historical data Vistula_lagoon";NA;"sampling";"coordinates_missing, no_method_but_sex";""
821988;NA;2020;NA;NA;NA;"PL";NA;"PL_Vist";"T";620;476;7;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"Commercial fishery and  fyke net survey";"EU DCF";NA;"historical data Vistula_lagoon";NA;"sampling";"coordinates_missing, no_method_but_sex";""
821989;NA;2020;NA;NA;NA;"PL";NA;"PL_Vist";"T";630;483;7;1;NA;"f";"sex_provided_nomethod";"Y";"Y";"Y";"fi_lfs_code";"Commercial fishery and  fyke net survey";"EU DCF";NA;"historical data Vistula_lagoon";NA;"sampling";"coordinates_missing, no_method_but_sex";""
