"mei_fi_id";"fi_id_cou";"fi_year";"fi_date";"ser_x";"ser_y";"ser_cou_code";"ser_nameshort";"ser_emu_nameshort";"ser_hty_code";"lengthmm";"weightg";"ageyear";"female_proportion";"method_sex";"sex";"sex_source";"fi_lfs_code";"ser_lfs_code";"lfs_code";"lfs_code_source";"sai_samplingstrategy";"sai_samplingobjective";"fi_comment";"sai_comment";"ser_qal_id";"source";"issue";"action"
3375443;NA;2019;2019-04-06;-8.841476;41.879275;"PT";"MiScG";"ES_Minh";"T";63;0.468;NA;NA;NA;NA;NA;"G";"G";"G";"fi_lfs_code";NA;NA;"all data from existing_individual_metrics was included as new_individual_metrics to fill in the missing life stage";NA;0;"series";"weight_length_off";""
3375444;NA;2019;2019-04-06;-8.841476;41.879275;"PT";"MiScG";"ES_Minh";"T";62;0.409;NA;NA;NA;NA;NA;"G";"G";"G";"fi_lfs_code";NA;NA;"all data from existing_individual_metrics was included as new_individual_metrics to fill in the missing life stage";NA;0;"series";"weight_length_off";""
3378348;NA;2018;2017-12-17;-8.82;40.14;"PT";"MondG";"PT_Port";"T";56;0.29;NA;NA;NA;NA;NA;"G";"G";"G";"fi_lfs_code";NA;NA;"all data from existing_individual_metrics was included as new_individual_metrics to fill in the missing life stage";NA;1;"series";"weight_length_off";""
3378405;NA;2018;2018-01-16;-8.82;40.14;"PT";"MondG";"PT_Port";"T";35;0.24;NA;NA;NA;NA;NA;"G";"G";"G";"fi_lfs_code";NA;NA;"all data from existing_individual_metrics was included as new_individual_metrics to fill in the missing life stage";NA;1;"series";"weight_length_off";""
3411910;NA;2018;2018-10-02;-8.755471;41.932737;"PT";"MinY";"ES_Minh";"F";325;54.68;6;NA;NA;"m";"sex_SI";"Y";"Y";"Y";"fi_lfs_code";NA;NA;NA;NA;NA;"series";"lfs_dont_match";""
3411936;NA;2019;2019-05-30;-8.755471;41.932737;"PT";"MinY";"ES_Minh";"F";315;59.18;8;NA;NA;"m";"sex_SI";"Y";"Y";"Y";"fi_lfs_code";NA;NA;NA;NA;NA;"series";"lfs_dont_match";""
3411937;NA;2019;2019-05-30;-8.755471;41.932737;"PT";"MinY";"ES_Minh";"F";360;75.58;12;NA;NA;"m";"sex_SI";"Y";"Y";"Y";"fi_lfs_code";NA;NA;NA;NA;NA;"series";"lfs_dont_match";""
3411940;NA;2019;2019-07-11;-8.755471;41.932737;"PT";"MinY";"ES_Minh";"F";359;90.48;7;NA;NA;"m";"sex_SI";"Y";"Y";"Y";"fi_lfs_code";NA;NA;NA;NA;NA;"series";"lfs_dont_match";""
3411979;NA;2019;2019-09-19;-8.755471;41.932737;"PT";"MinY";"ES_Minh";"F";331;72.4;NA;NA;NA;"m";"sex_SI";"Y";"Y";"Y";"fi_lfs_code";NA;NA;NA;NA;NA;"series";"lfs_dont_match";""
3412053;NA;2021;2021-10-19;-8.755471;41.932737;"PT";"MinY";"ES_Minh";"F";14;5;2;NA;NA;NA;NA;"Y";"Y";"Y";"fi_lfs_code";NA;NA;NA;NA;NA;"series";"too_short";""
3412059;NA;2021;2021-10-19;-8.755471;41.932737;"PT";"MinY";"ES_Minh";"F";153;22.7;5;NA;NA;NA;NA;"Y";"Y";"Y";"fi_lfs_code";NA;NA;NA;NA;NA;"series";"weight_length_off";""
3412111;NA;2017;2017-12-07;-8.440452;40.215957;"PT";"MonY";"PT_Port";"F";421;130.43;NA;NA;NA;"m";"sex_SI";"Y";"Y";"Y";"fi_lfs_code";NA;NA;"Unreadable age";NA;NA;"series";"lfs_dont_match";""
3412120;NA;2017;2017-11-29;-8.440452;40.215957;"PT";"MonY";"PT_Port";"F";434;150.87;6;NA;NA;"m";"sex_SI";"Y";"Y";"Y";"fi_lfs_code";NA;NA;NA;NA;NA;"series";"lfs_dont_match";""
3412128;NA;2017;2017-11-29;-8.440452;40.215957;"PT";"MonY";"PT_Port";"F";639;447.47;5;NA;NA;"f";"sex_SI";"Y";"Y";"Y";"fi_lfs_code";NA;NA;NA;NA;NA;"series";"lfs_dont_match";""
3412143;NA;2018;2018-11-07;-8.440452;40.215957;"PT";"MonY";"PT_Port";"F";309;49.26;7;NA;NA;"m";"sex_SI";"Y";"Y";"Y";"fi_lfs_code";NA;NA;NA;NA;NA;"series";"lfs_dont_match";""
3412146;NA;2018;2018-11-05;-8.440452;40.215957;"PT";"MonY";"PT_Port";"F";64;0.2;1;NA;NA;NA;NA;"Y";"Y";"Y";"fi_lfs_code";NA;NA;NA;NA;NA;"series";"unrealistic_length, unrealistic_weight";""
3412164;NA;2018;2018-11-06;-8.440452;40.215957;"PT";"MonY";"PT_Port";"F";71;0.17;1;NA;NA;NA;NA;"Y";"Y";"Y";"fi_lfs_code";NA;NA;NA;NA;NA;"series";"unrealistic_weight";""
3412170;NA;2018;2018-10-26;-8.440452;40.215957;"PT";"MonY";"PT_Port";"F";303;46.72;NA;NA;NA;"m";"sex_SI";"Y";"Y";"Y";"fi_lfs_code";NA;NA;"Unreadable age";NA;NA;"series";"lfs_dont_match";""
